b1_min,b1_max,b1_mean,b1_variance,b1_skewness,b1_kurtosis,b2_min,b2_max,b2_mean,b2_variance,b2_skewness,b2_kurtosis,b3_min,b3_max,b3_mean,b3_variance,b3_skewness,b3_kurtosis,b4_min,b4_max,b4_mean,b4_variance,b4_skewness,b4_kurtosis,b5_min,b5_max,b5_mean,b5_variance,b5_skewness,b5_kurtosis,b6_min,b6_max,b6_mean,b6_variance,b6_skewness,b6_kurtosis,b7_min,b7_max,b7_mean,b7_variance,b7_skewness,b7_kurtosis,b8_min,b8_max,b8_mean,b8_variance,b8_skewness,b8_kurtosis,segment_id,image_id
360,439,397.37111111111113,156.68303547151157,0.09635432027966144,0.14584993634451937,397,510,446.3666666666667,338.1635150166852,0.23569958265435617,0.1129884648975068,565,741,648.7711111111112,748.4636806328019,0.19964439400979747,0.11721628124658423,575,811,677.73,935.63447163515,0.14844553073425013,0.5033360206443271,363,517,423.76444444444445,465.4594685452972,0.23948710761914926,0.502363955363931,381,536,449.51,608.1433926585095,0.07604899192014343,-0.018388876262918075,309,439,373.95666666666665,433.4297107897663,0.020192720527234035,0.10238353051554006,268,380,320.2988888888889,321.0329242368063,0.14303424500347392,0.09609461183451629,1.0,6050_0_1
365,448,404.25555555555553,164.7933506365097,0.2832778771611476,0.5114770774131201,403,530,456.64444444444445,350.35842293906813,0.13082816276973058,0.2676986287509786,568,758,663.3744444444444,839.0576331726611,0.13971093624335434,0.2197467072474586,596,808,693.9322222222222,977.8074144110741,0.25028438593648517,0.16282544579167935,361,515,435.3877777777778,493.5057458904957,0.031413766559159194,0.2660327905764688,395,538,462.1044444444444,578.7810703250525,0.11411569855080031,-0.013813828646520143,313,462,385.8022222222222,511.5826424422197,0.02954851544439022,0.11856358429958647,273,400,331.97777777777776,336.1263131874922,0.3999728715177222,0.5833593986641108,2.0,6050_0_1
362,450,406.0722222222222,153.7689716969472,0.1183988001265566,0.1520691446840412,398,525,458.2077777777778,319.3594500061797,0.1975469668077105,0.28709074883219854,566,764,667.5022222222223,756.5439327648003,0.08444408533385846,0.6622004007375182,578,807,701.0077777777777,923.6050562353231,0.08958410154409689,0.4848384716659684,360,519,439.2188888888889,454.24013224570507,0.19541845648397116,0.8371829994115743,381,551,467.8722222222222,542.0782041774811,0.07185216389266438,0.34285886861747583,320,486,392.31333333333333,483.1742380422692,0.37198458376344673,0.7276615811847198,281,403,335.48,304.14086763070077,0.16612691165583165,0.15985289199350206,3.0,6050_0_1
355,441,402.37888888888887,145.3546150043258,-0.15315721452391765,0.41559274015485226,397,535,454.7211111111111,339.2291422568286,0.133898674516602,0.3930799817854118,584,752,660.3011111111111,712.588875293536,-0.08281809703742345,0.05179714550730008,588,806,690.7055555555555,958.2013039179335,-0.07784483134400305,0.21918473671142102,369,505,435.28333333333336,491.9607897664071,-0.006481613673022124,-0.0346533751994933,371,565,460.3377777777778,623.0136991719194,0.0672495665637258,0.5884000075855766,311,449,385.6666666666667,457.4749721913237,-0.16982823957329599,0.2436281841825947,270,408,330.77,340.16839822024474,0.0688238084323632,0.4348650358645898,4.0,6050_0_1
319,458,390.93666666666667,383.3096662958843,-0.25455020573301584,0.6730266838236187,344,525,436.44,734.6649165739711,-0.06635910033457024,0.25405656641529495,487,762,633.75,1752.3946051167964,-0.1567263552339115,0.2751832852793772,484,817,662.7711111111112,2404.9264170065508,-0.22214287486150577,0.3852713644872785,303,511,413.8211111111111,1166.1470510443703,-0.15175873611330554,0.04301349955505618,312,543,437.8177777777778,1354.8855567914968,-0.20897689440227937,0.12684538991551708,250,469,364.3888888888889,1194.7918675071069,-0.04947629772594082,0.024127742120681805,211,398,313.76444444444445,922.7520158200471,-0.14269066219014526,0.09922370210969467,5.0,6050_0_1
302,469,383.2422222222222,637.758838215301,0.10902246809633975,-0.1565350381006838,327,570,422.7077777777778,1208.2471029538995,0.1971081888439302,-0.10116780702462602,471,808,609.7044444444444,2668.7512594240516,0.12739411608378223,-0.04711937876913641,458,856,642.2255555555555,4056.6398356198247,0.0976603576924909,-0.24192473475526377,280,539,394.77222222222224,1714.5720862686935,0.04074221677961683,-0.13518173205096273,289,584,424.68,2466.831857619577,0.11642652523004435,-0.287956328971978,233,474,348.1277777777778,1914.5142442219749,-0.005956325670649726,-0.35676016458621085,193,418,302.5833333333333,1448.2744716351503,0.10413858585418047,-0.3149111495546708,6.0,6050_0_1
326,495,407.5444444444444,983.1226053639846,0.1955796214007438,-0.4787702901487312,342,617,457.69666666666666,1836.0224582869855,0.22247882704558047,-0.14474636468099478,481,894,665.1755555555555,4289.232772216043,0.1909452466888612,-0.2048517964734642,493,944,705.8811111111111,6327.602089976518,0.2143737805880322,-0.3134144826277079,310,615,440.7366666666667,2668.59020022247,0.2241992012353054,-0.16519626938217513,320,670,475.74111111111114,3872.1342368063283,0.27598039091268106,-0.2875792725349471,266,586,398.0755555555556,2992.3391125942403,0.2826385860817296,-0.15491849752772646,231,479,344.68666666666667,2399.9484315906566,0.18918549311735172,-0.6015306458288485,7.0,6050_0_1
250,545,405.7611111111111,5071.859442590533,-0.5013118264094318,-0.8734508680007629,229,653,457.41333333333336,9817.134860956616,-0.5017439503763852,-0.8074526961014539,270,953,662.5722222222222,24159.07486713632,-0.5219524225369281,-0.7811900435926233,225,1046,701.2988888888889,34500.31212334693,-0.5400632614421571,-0.7548179749522248,152,685,441.10777777777776,15316.572353231986,-0.4826796637652749,-0.8260187692268786,211,750,478.8211111111111,18837.686539364728,-0.40671004219857143,-0.958487214953371,167,641,404.05444444444447,14892.5810147077,-0.39515411493174846,-0.9093987100335887,141,549,348.50888888888886,10864.577229019898,-0.4006664627026971,-0.9466094449812847,8.0,6050_0_1
267,726,361.4811111111111,6992.779398096651,0.8787733167733915,0.3754418041275458,268,753,390.34,13378.32698553949,0.7097770753343434,-0.6081004342608991,371,1121,560.0077777777777,31529.71629094055,0.7515790536023338,-0.4828390787789125,359,1467,589.2566666666667,45717.501345939934,0.8827195198769099,0.31299423004406046,214,830,358.22,20439.42429365962,0.7959940137166774,-0.3132730793144547,203,1061,387.04555555555555,27139.494029168214,0.8345302790367916,0.05245516382214266,164,808,313.4144444444444,21931.42426276109,0.7824505530418041,-0.37665080405859364,138,783,279.06888888888886,16021.20770732913,0.784516042398273,-0.014651777992578108,9.0,6050_0_1
239,286,258.25888888888886,213.57583858608328,0.41136159984755916,-1.5854099124952177,205,282,238.53666666666666,712.7739599555061,0.4576045875680561,-1.6377863192662776,240,396,318.4122222222222,2315.261474477815,0.39776468478636,-1.588320053720097,204,395,295.4511111111111,3619.126639475961,0.46176715965500437,-1.6056243744117065,124,228,170.00222222222223,1212.335923866024,0.4813522107121835,-1.5932751531277947,209,427,311.7188888888889,4436.678396984304,-0.15769579534038572,-1.5463203099476661,166,643,386.84777777777776,26248.3939327648,-0.36138776069053047,-1.5855078200869004,145,554,334.03222222222223,19300.558471140776,-0.3185178874234563,-1.6357087866359146,10.0,6050_0_1
